Iteration 1, loss = 21447.55849879
Iteration 71, loss = 7213.82735431
Iteration 72, loss = 7167.80899291
Iteration 73, loss = 7121.85397661
Iteration 74, loss = 7076.94696934
Iteration 75, loss = 7031.96501948
Iteration 76, loss = 6987.56799150
Iteration 77, loss = 6943.58992128
Iteration 78, loss = 6900.27363224
Iteration 79, loss = 6857.82832545
Iteration 80, loss = 6816.92773607
Iteration 81, loss = 6775.73400224
Iteration 82, loss = 6736.15801798
Iteration 83, loss = 6696.67407138
Iteration 84, loss = 6658.92692041
Iteration 85, loss = 6622.60508078
Iteration 86, loss = 6586.63209365
Iteration 87, loss = 6552.60262586
Iteration 88, loss = 6519.74781932
Iteration 89, loss = 6487.84650299
Iteration 90, loss = 6457.19530660
Iteration 91, loss = 6427.18687548
Iteration 92, loss = 6399.03345474
Iteration 93, loss = 6371.76330007
Iteration 94, loss = 6345.85062652
Iteration 95, loss = 6321.61620108
Iteration 96, loss = 6297.25530550
Iteration 97, loss = 6275.07265181
Iteration 98, loss = 6253.43257981
Iteration 99, loss = 6233.23129140
Iteration 100, loss = 6214.74784520
Iteration 101, loss = 6196.04726445
Iteration 102, loss = 6178.60520539
Iteration 103, loss = 6162.65703528
Iteration 104, loss = 6147.38692382
Iteration 105, loss = 6133.33305258
Iteration 106, loss = 6119.53068570
Iteration 107, loss = 6106.73477350
Iteration 108, loss = 6095.08399829
Iteration 109, loss = 6083.47909614
Iteration 110, loss = 6072.96802790
Iteration 111, loss = 6062.36485311
Iteration 112, loss = 6052.32264029
Iteration 113, loss = 6042.76319472
Iteration 114, loss = 6033.84693580
Iteration 115, loss = 6025.13058638
Iteration 116, loss = 6016.87015854
Iteration 117, loss = 6009.23699733
Iteration 118, loss = 6001.44191253
Iteration 119, loss = 5994.31574513
Iteration 120, loss = 5986.93511254
Iteration 121, loss = 5980.04068050
Iteration 122, loss = 5973.81943469
Iteration 123, loss = 5967.77409258
Iteration 124, loss = 5961.26696875
Iteration 125, loss = 5955.35680136
Iteration 126, loss = 5949.61912095
Iteration 127, loss = 5944.07929387
Iteration 128, loss = 5938.54017688
Iteration 129, loss = 5932.98010118
Iteration 130, loss = 5928.31085693
Iteration 131, loss = 5922.80355393
Iteration 132, loss = 5918.13332774
Iteration 133, loss = 5912.59729295
Iteration 134, loss = 5907.68951799
Iteration 135, loss = 5903.28958907
Iteration 136, loss = 5898.11448181
Iteration 137, loss = 5894.15062606
Iteration 138, loss = 5888.90123540
Iteration 139, loss = 5884.25998722
Iteration 140, loss = 5878.95719629
Iteration 141, loss = 5874.80038274
Iteration 142, loss = 5870.41858673
Iteration 143, loss = 5866.30853526
Iteration 144, loss = 5862.01373080
Iteration 145, loss = 5857.91962240
Iteration 146, loss = 5853.69233773
Iteration 147, loss = 5850.10561706
Iteration 148, loss = 5846.34084054
Iteration 149, loss = 5842.65172047
Iteration 150, loss = 5838.70637026
Iteration 151, loss = 5834.85002831
Iteration 152, loss = 5831.28671364
Iteration 153, loss = 5827.91098835
Iteration 154, loss = 5824.83843792
Iteration 155, loss = 5821.90851352
Iteration 156, loss = 5817.58889083
Iteration 157, loss = 5814.21013703
Iteration 158, loss = 5811.23750285
Iteration 159, loss = 5808.26166585
Iteration 160, loss = 5805.28813218
Iteration 161, loss = 5802.17449851
Iteration 162, loss = 5798.81824234
Iteration 163, loss = 5795.40168624
Iteration 164, loss = 5792.40250004
Iteration 165, loss = 5790.92571295
Iteration 166, loss = 5787.35742751
Iteration 167, loss = 5783.41007852
Iteration 168, loss = 5780.58121243
Iteration 169, loss = 5777.98929078
Iteration 170, loss = 5774.62651925
Iteration 171, loss = 5771.99281358
Iteration 172, loss = 5768.97140958
Iteration 173, loss = 5766.15254529
Iteration 174, loss = 5763.80536305
Iteration 175, loss = 5761.05543601
Iteration 176, loss = 5757.58452235
Iteration 177, loss = 5754.91459346
Iteration 178, loss = 5752.19217755
Iteration 179, loss = 5749.57883574
Iteration 180, loss = 5746.63118630
Iteration 181, loss = 5744.00263219
Iteration 182, loss = 5741.32655405
Iteration 183, loss = 5738.56414806
Iteration 184, loss = 5735.91273436
Iteration 185, loss = 5733.54281719
Iteration 186, loss = 5730.74690079
Iteration 187, loss = 5728.02224349
Iteration 188, loss = 5726.27517883
Iteration 189, loss = 5723.08129895
Iteration 190, loss = 5721.30364782
Iteration 191, loss = 5718.51038530
Iteration 192, loss = 5715.64192414
Iteration 193, loss = 5713.97456140
Iteration 194, loss = 5711.38788587
Iteration 195, loss = 5709.27121686
Iteration 196, loss = 5706.55143679
Iteration 197, loss = 5703.91656720
Iteration 198, loss = 5701.48490731
Iteration 199, loss = 5699.59338374
Iteration 200, loss = 5697.74970474
Iteration 201, loss = 5695.97763023
Iteration 202, loss = 5693.20125821
Iteration 203, loss = 5690.46529390
Iteration 204, loss = 5688.40062863
Iteration 205, loss = 5686.11194859
Iteration 206, loss = 5684.32728166
Iteration 207, loss = 5681.87694478
Iteration 208, loss = 5679.55999156
Iteration 209, loss = 5677.51426567
Iteration 210, loss = 5675.88834624
Iteration 211, loss = 5674.14610401
Iteration 212, loss = 5671.81097351
Iteration 213, loss = 5669.57223879
Iteration 214, loss = 5667.74517963
Iteration 215, loss = 5665.28835007
Iteration 216, loss = 5663.39777024
Iteration 217, loss = 5662.28503320
Iteration 218, loss = 5659.95204787
Iteration 219, loss = 5657.56403336
Iteration 220, loss = 5655.36991352
Iteration 221, loss = 5654.05824028
Iteration 222, loss = 5652.24162361
Iteration 223, loss = 5650.06423732
Iteration 224, loss = 5648.22991748
Iteration 225, loss = 5646.36171831
Iteration 226, loss = 5644.54337312
Iteration 227, loss = 5642.93615736
Iteration 228, loss = 5641.14281395
Iteration 229, loss = 5639.26403020
Iteration 230, loss = 5637.25088025
Iteration 231, loss = 5635.72441164
Iteration 232, loss = 5633.96461087
Iteration 233, loss = 5632.91566084
Iteration 234, loss = 5630.93803048
Iteration 235, loss = 5629.37840574
Iteration 236, loss = 5626.96481181
Iteration 237, loss = 5625.79636821
Iteration 238, loss = 5624.93541487
Iteration 239, loss = 5621.84619467
Iteration 240, loss = 5621.55204095
Iteration 241, loss = 5618.44058300
Iteration 242, loss = 5617.51643335
Iteration 243, loss = 5615.69901838
Iteration 244, loss = 5613.97113183
Iteration 245, loss = 5612.92380766
Iteration 246, loss = 5611.77559544
Iteration 247, loss = 5609.78102344
Iteration 248, loss = 5608.14607384
Iteration 249, loss = 5606.64272643
Iteration 250, loss = 5605.00532048
Iteration 251, loss = 5603.56723319
Iteration 252, loss = 5601.98537132
Iteration 253, loss = 5601.81676052
Iteration 254, loss = 5598.95359357
Iteration 255, loss = 5597.44518424
Iteration 256, loss = 5595.79469470
Iteration 257, loss = 5594.21512243
Iteration 258, loss = 5593.43582391
Iteration 259, loss = 5591.28975108
Iteration 260, loss = 5590.08100752
Iteration 261, loss = 5589.03216954
Iteration 262, loss = 5587.37583746
Iteration 263, loss = 5585.60099689
Iteration 264, loss = 5584.62481552
Iteration 265, loss = 5582.88958804
Iteration 266, loss = 5581.95946737
Iteration 267, loss = 5579.92922675
Iteration 268, loss = 5578.78384402
Iteration 269, loss = 5577.83768854
Iteration 270, loss = 5576.05941440
Iteration 271, loss = 5574.45376134
Iteration 272, loss = 5574.20930581
Iteration 273, loss = 5572.60224817
Iteration 274, loss = 5570.53877589
Iteration 275, loss = 5568.80399473
Iteration 276, loss = 5567.91698415
Iteration 277, loss = 5566.56480466
Iteration 278, loss = 5565.08877114
Iteration 279, loss = 5563.82545799
Iteration 280, loss = 5563.16120328
Iteration 281, loss = 5561.30384855
Iteration 282, loss = 5559.58916833
Iteration 283, loss = 5559.06995958
Iteration 284, loss = 5557.34100045
Iteration 285, loss = 5556.05769577
Iteration 286, loss = 5554.49258505
Iteration 287, loss = 5554.12527376
Iteration 288, loss = 5552.31311340
Iteration 289, loss = 5551.15530048
Iteration 290, loss = 5549.73773067
Iteration 291, loss = 5549.02800997
Iteration 292, loss = 5548.33753091
Iteration 293, loss = 5545.91212132
Iteration 294, loss = 5545.80265333
Iteration 295, loss = 5543.55854946
Iteration 296, loss = 5542.47546987
Iteration 297, loss = 5541.71352501
Iteration 298, loss = 5540.27156271
Iteration 299, loss = 5539.21944760
Iteration 300, loss = 5538.36345339
Iteration 301, loss = 5536.96471492
Iteration 302, loss = 5535.78915002
Iteration 303, loss = 5534.96399882
Iteration 304, loss = 5533.11783881
Iteration 305, loss = 5532.73402222
Iteration 306, loss = 5530.77901673
Iteration 307, loss = 5529.84510220
Iteration 308, loss = 5528.33719634
Iteration 309, loss = 5527.72332358
Iteration 310, loss = 5525.90773801
Iteration 311, loss = 5525.14325526
Iteration 312, loss = 5523.96973520
Iteration 313, loss = 5523.10273214
Iteration 314, loss = 5521.34177226
Iteration 315, loss = 5520.05528940
Iteration 316, loss = 5519.37018320
Iteration 317, loss = 5518.01928634
Iteration 318, loss = 5516.67703583
Iteration 319, loss = 5515.57795214
Iteration 320, loss = 5514.48986827
Iteration 321, loss = 5513.47086953
Iteration 322, loss = 5512.61076603
Iteration 323, loss = 5511.24589267
Iteration 324, loss = 5510.00740443
Iteration 325, loss = 5508.95051580
Iteration 326, loss = 5507.59064624
Iteration 327, loss = 5506.63066676
Iteration 328, loss = 5506.10299541
Iteration 329, loss = 5504.58555002
Iteration 330, loss = 5503.72780458
Iteration 331, loss = 5502.88127165
Iteration 332, loss = 5501.12530011
Iteration 333, loss = 5500.52623830
Iteration 334, loss = 5498.92219063
Iteration 335, loss = 5497.94516492
Iteration 336, loss = 5496.82611997
Iteration 337, loss = 5496.40667928
Iteration 338, loss = 5495.20140029
Iteration 339, loss = 5494.08360094
Iteration 340, loss = 5492.95423307
Iteration 341, loss = 5491.61099292
Iteration 342, loss = 5491.12349181
Iteration 343, loss = 5490.14693331
Iteration 344, loss = 5488.83331001
Iteration 345, loss = 5487.82744627
Iteration 346, loss = 5487.22991560
Iteration 347, loss = 5485.95841317
Iteration 348, loss = 5484.77666781
Iteration 349, loss = 5483.83861102
Iteration 350, loss = 5482.81141757
Iteration 351, loss = 5481.47964829
Iteration 352, loss = 5480.80497697
Iteration 353, loss = 5479.57704191
Iteration 354, loss = 5478.88533686
Iteration 355, loss = 5477.95552069
Iteration 356, loss = 5476.74047323
Iteration 357, loss = 5475.90466460
Iteration 358, loss = 5475.18753446
Iteration 359, loss = 5473.50322661
Iteration 360, loss = 5472.37110310
Iteration 361, loss = 5472.39032303
Iteration 362, loss = 5471.02814984
Iteration 363, loss = 5469.87607623
Iteration 364, loss = 5468.36505707
Iteration 365, loss = 5468.08312836
Iteration 366, loss = 5466.29999964
Iteration 367, loss = 5465.23892573
Iteration 368, loss = 5464.29001776
Iteration 369, loss = 5464.42745095
Iteration 370, loss = 5462.38402166
Iteration 371, loss = 5461.20854375
Iteration 372, loss = 5460.22341597
Iteration 373, loss = 5459.32327969
Iteration 374, loss = 5459.24904597
Iteration 375, loss = 5457.23060682
Iteration 376, loss = 5455.87134269
Iteration 377, loss = 5454.78771608
Iteration 378, loss = 5453.99482400
Iteration 379, loss = 5453.64290638
Iteration 380, loss = 5452.18054621
Iteration 381, loss = 5451.10895889
Iteration 382, loss = 5449.77375923
Iteration 383, loss = 5449.76068732
Iteration 384, loss = 5447.80697684
Iteration 385, loss = 5446.87902846
Iteration 386, loss = 5445.57841295
Iteration 387, loss = 5445.27654191
Iteration 388, loss = 5443.76946343
Iteration 389, loss = 5442.52720083
Iteration 390, loss = 5441.42949893
Iteration 391, loss = 5441.02402510
Iteration 392, loss = 5440.06199120
Iteration 393, loss = 5438.62217427
Iteration 394, loss = 5437.92779617
Iteration 395, loss = 5436.60534308
Iteration 396, loss = 5435.91615639
Iteration 397, loss = 5435.40672250
Iteration 398, loss = 5434.64454669
Iteration 399, loss = 5433.46554095
Iteration 400, loss = 5433.12129660
Iteration 401, loss = 5431.37689886
Iteration 402, loss = 5430.41618751
Iteration 403, loss = 5428.92178380
Iteration 404, loss = 5428.48873080
Iteration 405, loss = 5428.52244823
Iteration 406, loss = 5426.75436763
Iteration 407, loss = 5425.72886555
Iteration 408, loss = 5424.94208510
Iteration 409, loss = 5424.21708853
Iteration 410, loss = 5422.76439183
Iteration 411, loss = 5422.40858545
Iteration 412, loss = 5421.56315366
Iteration 413, loss = 5421.16553934
Iteration 414, loss = 5419.44739603
Iteration 415, loss = 5419.02944565
Iteration 416, loss = 5417.63053097
Iteration 417, loss = 5416.77582904
Iteration 418, loss = 5416.06293715
Iteration 419, loss = 5415.52227940
Iteration 420, loss = 5414.11241385
Iteration 421, loss = 5413.24621272
Iteration 422, loss = 5412.69477763
Iteration 423, loss = 5411.80919801
Iteration 424, loss = 5409.98076097
Iteration 425, loss = 5410.31677879
Iteration 426, loss = 5408.74214283
Iteration 427, loss = 5407.76845721
Iteration 428, loss = 5406.89853058
Iteration 429, loss = 5405.84061722
Iteration 430, loss = 5405.38941343
Iteration 431, loss = 5404.09190158
Iteration 432, loss = 5403.19481597
Iteration 433, loss = 5403.43810233
Iteration 434, loss = 5402.05134351
Iteration 435, loss = 5401.54087772
Iteration 436, loss = 5401.04729431
Iteration 437, loss = 5398.93060235
Iteration 438, loss = 5398.11162604
Iteration 439, loss = 5397.27196053
Iteration 440, loss = 5396.39756189
Iteration 441, loss = 5395.24094579
Iteration 442, loss = 5394.40122930
Iteration 443, loss = 5393.76535974
Iteration 444, loss = 5392.99919402
Iteration 445, loss = 5391.75441184
Iteration 446, loss = 5391.18715132
Iteration 447, loss = 5391.57078754
Iteration 448, loss = 5389.82360426
Iteration 449, loss = 5389.06023015
Iteration 450, loss = 5388.81161822
Iteration 451, loss = 5387.23909367
Iteration 452, loss = 5385.98312014
Iteration 453, loss = 5385.40753079
Iteration 454, loss = 5385.81363919
Iteration 455, loss = 5384.30461414
Iteration 456, loss = 5383.27639074
Iteration 457, loss = 5382.60331383
Iteration 458, loss = 5381.42128651
Iteration 459, loss = 5381.68723413
Iteration 460, loss = 5380.19552876
Iteration 461, loss = 5379.56160231
Iteration 462, loss = 5378.91983492
Iteration 463, loss = 5377.60001150
Iteration 464, loss = 5376.59064814
Iteration 465, loss = 5375.81652368
Iteration 466, loss = 5375.11709787
Iteration 467, loss = 5375.20708045
Iteration 468, loss = 5373.81068758
Iteration 469, loss = 5373.17100947
Iteration 470, loss = 5372.73753869
Iteration 471, loss = 5371.40148007
Iteration 472, loss = 5370.40313751
Iteration 473, loss = 5370.65210880
Iteration 474, loss = 5369.60977318
Iteration 475, loss = 5368.77805857
Iteration 476, loss = 5367.98393671
Iteration 477, loss = 5366.87942704
Iteration 478, loss = 5366.36052672
Iteration 479, loss = 5365.28488323
Iteration 480, loss = 5364.32119155
Iteration 481, loss = 5363.81671735
Iteration 482, loss = 5362.70231940
Iteration 483, loss = 5362.91653350
Iteration 484, loss = 5361.68872493
Iteration 485, loss = 5360.40056130
Iteration 486, loss = 5359.97510047
Iteration 487, loss = 5358.93762966
Iteration 488, loss = 5359.17711390
Iteration 489, loss = 5358.10288374
Iteration 490, loss = 5357.31647856
Iteration 491, loss = 5356.55905260
Iteration 492, loss = 5355.52749397
Iteration 493, loss = 5355.69351339
Iteration 494, loss = 5354.41201936
Iteration 495, loss = 5353.58112460
Iteration 496, loss = 5352.18026062
Iteration 497, loss = 5352.13732694
Iteration 498, loss = 5351.49040950
Iteration 499, loss = 5349.99615968
Iteration 500, loss = 5349.58172051
Iteration 501, loss = 5348.85620570
Iteration 502, loss = 5348.89952937
Iteration 503, loss = 5347.29321464
Iteration 504, loss = 5346.66150777
Iteration 505, loss = 5345.75730824
Iteration 506, loss = 5344.93146117
Iteration 507, loss = 5344.86117192
Iteration 508, loss = 5343.46676755
Iteration 509, loss = 5342.77285244
Iteration 510, loss = 5341.91818847
Iteration 511, loss = 5342.19717212
Iteration 512, loss = 5340.54575165
Iteration 513, loss = 5340.08445472
Iteration 514, loss = 5339.02232367
Iteration 515, loss = 5338.88601822
Iteration 516, loss = 5337.90207824
Iteration 517, loss = 5336.75882194
Iteration 518, loss = 5336.12786676
Iteration 519, loss = 5336.30789354
Iteration 520, loss = 5335.01583839
Iteration 521, loss = 5334.42579547
Iteration 522, loss = 5333.49897588
Iteration 523, loss = 5332.69103397
Iteration 524, loss = 5332.07752726
Iteration 525, loss = 5331.63467391
Iteration 526, loss = 5331.54145367
Iteration 527, loss = 5329.53340534
Iteration 528, loss = 5329.44241545
Iteration 529, loss = 5328.42675179
Iteration 530, loss = 5327.66154438
Iteration 531, loss = 5327.11647014
Iteration 532, loss = 5325.71602279
Iteration 533, loss = 5325.00791111
Iteration 534, loss = 5325.03277909
Iteration 535, loss = 5323.33041387
Iteration 536, loss = 5323.59350616
Iteration 537, loss = 5322.72931043
Iteration 538, loss = 5321.94017409
Iteration 539, loss = 5320.84226619
Iteration 540, loss = 5319.97402934
Iteration 541, loss = 5319.34747660
Iteration 542, loss = 5319.09108853
Iteration 543, loss = 5318.91307677
Iteration 544, loss = 5316.83629577
Iteration 545, loss = 5316.27075427
Iteration 546, loss = 5316.00633569
Iteration 547, loss = 5315.32974266
Iteration 548, loss = 5314.19823103
Iteration 549, loss = 5313.79738719
Iteration 550, loss = 5313.08326969
Iteration 551, loss = 5312.57443805
Iteration 552, loss = 5312.71620850
Iteration 553, loss = 5312.08922731
Iteration 554, loss = 5309.83868798
Iteration 555, loss = 5310.37995408
Iteration 556, loss = 5308.72845996
Iteration 557, loss = 5308.63583320
Iteration 558, loss = 5307.83420421
Iteration 559, loss = 5307.69141910
Iteration 560, loss = 5306.42088060
Iteration 561, loss = 5305.25666123
Iteration 562, loss = 5304.85978824
Iteration 563, loss = 5304.57000526
Iteration 564, loss = 5303.57061842
Iteration 565, loss = 5303.60072612
Iteration 566, loss = 5302.46993681
Iteration 567, loss = 5301.41913189
Iteration 568, loss = 5301.18541617
Iteration 569, loss = 5300.09568835
Iteration 570, loss = 5299.21140839
Iteration 571, loss = 5298.36895076
Iteration 572, loss = 5298.18248414
Iteration 573, loss = 5298.20892898
Iteration 574, loss = 5297.11533754
Iteration 575, loss = 5295.84373094
Iteration 576, loss = 5296.31976982
Iteration 577, loss = 5295.01516877
Iteration 578, loss = 5294.28541628
Iteration 579, loss = 5293.13738934
Iteration 580, loss = 5292.78296393
Iteration 581, loss = 5292.27664860
Iteration 582, loss = 5290.82583323
Iteration 583, loss = 5290.21664919
Iteration 584, loss = 5290.38235616
Iteration 585, loss = 5289.37713701
Iteration 586, loss = 5288.17655273
Iteration 587, loss = 5288.00430210
Iteration 588, loss = 5287.01392271
Iteration 589, loss = 5286.26605703
Iteration 590, loss = 5287.13853052
Iteration 591, loss = 5285.23685604
Iteration 592, loss = 5284.43061105
Iteration 593, loss = 5284.42577824
Iteration 594, loss = 5283.58523782
Iteration 595, loss = 5283.55134671
Iteration 596, loss = 5281.44481639
Iteration 597, loss = 5282.18912943
Iteration 598, loss = 5280.20419232
Iteration 599, loss = 5280.75338704
Iteration 600, loss = 5279.01823820
Iteration 601, loss = 5279.07709461
Iteration 602, loss = 5277.98883208
Iteration 603, loss = 5277.86727282
Iteration 604, loss = 5276.30475487
Iteration 605, loss = 5275.67918535
Iteration 606, loss = 5275.56758799
Iteration 607, loss = 5274.56497047
Iteration 608, loss = 5273.85813392
Iteration 609, loss = 5273.66084593
Iteration 610, loss = 5272.63866787
Iteration 611, loss = 5272.28888527
Iteration 612, loss = 5271.54371903
Iteration 613, loss = 5270.95156804
Iteration 614, loss = 5271.45466503
Iteration 615, loss = 5269.67909782
Iteration 616, loss = 5269.78588401
Iteration 617, loss = 5268.19461109
Iteration 618, loss = 5268.45420601
Iteration 619, loss = 5267.77176931
Iteration 620, loss = 5266.68696603
Iteration 621, loss = 5265.51372773
Iteration 622, loss = 5265.46546140
Iteration 623, loss = 5264.68682998
Iteration 624, loss = 5264.51942478
Iteration 625, loss = 5262.92978091
Iteration 626, loss = 5262.36938256
Iteration 627, loss = 5262.30848652
Iteration 628, loss = 5261.41331436
Iteration 629, loss = 5260.57404388
Iteration 630, loss = 5260.05229762
Iteration 631, loss = 5260.10522478
Iteration 632, loss = 5258.37957486
Iteration 633, loss = 5257.95760706
Iteration 634, loss = 5257.63106202
Iteration 635, loss = 5256.69888909
Iteration 636, loss = 5256.54052329
Iteration 637, loss = 5256.33839662
Iteration 638, loss = 5255.15629357
Iteration 639, loss = 5254.20294898
Iteration 640, loss = 5254.18883528
Iteration 641, loss = 5253.15777839
Iteration 642, loss = 5252.95240027
Iteration 643, loss = 5252.18953372
Iteration 644, loss = 5251.10815544
Iteration 645, loss = 5250.08632820
Iteration 646, loss = 5250.16753477
Iteration 647, loss = 5249.20697595
Iteration 648, loss = 5248.54461909
Iteration 649, loss = 5248.22921032
Iteration 650, loss = 5248.15468836
Iteration 651, loss = 5246.95481831
Iteration 652, loss = 5246.05690428
Iteration 653, loss = 5245.36507884
Iteration 654, loss = 5244.78591213
Iteration 655, loss = 5243.62284366
Iteration 656, loss = 5243.63269751
Iteration 657, loss = 5242.29036868
Iteration 658, loss = 5242.09063947
Iteration 659, loss = 5241.34741641
Iteration 660, loss = 5241.64150019
Iteration 661, loss = 5240.61282924
Iteration 662, loss = 5239.46659647
Iteration 663, loss = 5239.05478904
Iteration 664, loss = 5238.60110989
Iteration 665, loss = 5237.46299987
Iteration 666, loss = 5237.25325859
Iteration 667, loss = 5236.81401662
Iteration 668, loss = 5235.54835474
Iteration 669, loss = 5235.32100686
Iteration 670, loss = 5234.86902196
Iteration 671, loss = 5234.15037580
Iteration 672, loss = 5233.53749711
Iteration 673, loss = 5234.41606173
Iteration 674, loss = 5232.65787095
Iteration 675, loss = 5232.83474655
Iteration 676, loss = 5231.57733906
Iteration 677, loss = 5230.55124690
Iteration 678, loss = 5230.79533019
Iteration 679, loss = 5229.20871678
Iteration 680, loss = 5228.83524671
Iteration 681, loss = 5228.25936715
Iteration 682, loss = 5228.41547729
Iteration 683, loss = 5226.62298196
Iteration 684, loss = 5226.61235747
Iteration 685, loss = 5226.76065600
Iteration 686, loss = 5225.66937990
Iteration 687, loss = 5224.94926375
Iteration 688, loss = 5225.16832623
Iteration 689, loss = 5224.01595520
Iteration 690, loss = 5223.40033332
Iteration 691, loss = 5222.19764338
Iteration 692, loss = 5221.66308346
Iteration 693, loss = 5221.32772522
Iteration 694, loss = 5221.00819502
Iteration 695, loss = 5220.77259049
Iteration 696, loss = 5220.02742256
Iteration 697, loss = 5218.77585001
Iteration 698, loss = 5218.26555244
Iteration 699, loss = 5217.57231652
Iteration 700, loss = 5217.16003764
Iteration 701, loss = 5216.52279209
Iteration 702, loss = 5216.37592353
Iteration 703, loss = 5216.87119376
Iteration 704, loss = 5216.49141115
Iteration 705, loss = 5214.48588451
Iteration 706, loss = 5213.67058583
Iteration 707, loss = 5213.27335011
Iteration 708, loss = 5212.63504699
Iteration 709, loss = 5212.25461693
Iteration 710, loss = 5211.87500632
Iteration 711, loss = 5210.56582798
Iteration 712, loss = 5210.95436374
Iteration 713, loss = 5209.70559574
Iteration 714, loss = 5209.57570310
Iteration 715, loss = 5208.06349087
Iteration 716, loss = 5208.03352490
Iteration 717, loss = 5207.50195463
Iteration 718, loss = 5206.52307228
Iteration 719, loss = 5206.23621407
Iteration 720, loss = 5205.50850380
Iteration 721, loss = 5205.62884362
Iteration 722, loss = 5204.73304208
Iteration 723, loss = 5203.61395180
Iteration 724, loss = 5203.69239769
Iteration 725, loss = 5202.79772121
Iteration 726, loss = 5202.11897060
Iteration 727, loss = 5202.07572523
Iteration 728, loss = 5200.71599628
Iteration 729, loss = 5200.87547399
Iteration 730, loss = 5200.33401420
Iteration 731, loss = 5199.65485019
Iteration 732, loss = 5198.31049173
Iteration 733, loss = 5197.95577269
Iteration 734, loss = 5197.20857288
Iteration 735, loss = 5197.13016605
Iteration 736, loss = 5196.52705210
Iteration 737, loss = 5197.14313950
Iteration 738, loss = 5194.92561035
Iteration 739, loss = 5194.37941468
Iteration 740, loss = 5194.05800943
Iteration 741, loss = 5193.15227192
Iteration 742, loss = 5193.01548519
Iteration 743, loss = 5192.28958663
Iteration 744, loss = 5191.23973062
Iteration 745, loss = 5190.95306648
Iteration 746, loss = 5190.20330431
Iteration 747, loss = 5189.88823446
Iteration 748, loss = 5188.92539362
Iteration 749, loss = 5189.20288050
Iteration 750, loss = 5188.79349623
Iteration 751, loss = 5187.52877239
Iteration 752, loss = 5186.92895572
Iteration 753, loss = 5187.50971038
Iteration 754, loss = 5186.61606497
Iteration 755, loss = 5185.78622684
Iteration 756, loss = 5184.49268331
Iteration 757, loss = 5184.32802342
Iteration 758, loss = 5184.89411229
Iteration 759, loss = 5183.11580966
Iteration 760, loss = 5182.51921834
Iteration 761, loss = 5181.78469051
Iteration 762, loss = 5181.87937759
Iteration 763, loss = 5180.69312545
Iteration 764, loss = 5180.02269282
Iteration 765, loss = 5180.34998980
Iteration 766, loss = 5179.58795323
Iteration 767, loss = 5179.42439359
Iteration 768, loss = 5179.36768113
Iteration 769, loss = 5177.48252172
Iteration 770, loss = 5176.94198888
Iteration 771, loss = 5176.03435625
Iteration 772, loss = 5175.68200587
Iteration 773, loss = 5174.96654077
Iteration 774, loss = 5174.47802442
Iteration 775, loss = 5173.77026355
Iteration 776, loss = 5174.39038769
